image_id,method,mIoU,pixel_accuracy,inference_time_sec
image_001,Watershed,0.317270133,0.498940087,0.038644314
image_001,U-Net,0.09282558,0.185649476,0.391043425
image_001,SegFormer,0.64053283,0.822394466,0.549282312
image_001,SAM,0.607099331,0.797587224,24.70754552
image_002,Watershed,0.225750064,0.376179688,0.018261909
image_002,U-Net,0.258965129,0.517891685,0.327791691
image_002,SegFormer,0.68633691,0.821204302,0.489048243
image_002,SAM,0.469316733,0.674060793,22.01950526
image_003,Watershed,0.27521053,0.468312837,0.010063648
image_003,U-Net,0.041725467,0.083431991,0.268415213
image_003,SegFormer,0.210081774,0.364118486,0.345839739
image_003,SAM,0.183464789,0.330136026,21.56899524
image_004,Watershed,0.366889136,0.657825313,0.011059761
image_004,U-Net,0.025626338,0.05124942,0.22849679
image_004,SegFormer,0.025609237,0.051218474,0.324798822
image_004,SAM,0.661706918,0.927173913,22.67809272
image_005,Watershed,0.796306564,0.948586349,0.007287264
image_005,U-Net,0.065013795,0.129962394,0.405587435
image_005,SegFormer,0.064864286,0.129728571,0.433080912
image_005,SAM,0.473063958,0.694226535,26.64138889
image_006,Watershed,0.203207297,0.338708423,0.008677483
image_006,U-Net,0.386340476,0.772408147,0.247419119
image_006,SegFormer,0.408489238,0.773570771,0.371646166
image_006,SAM,0.514436668,0.797953127,23.81319523
image_007,Watershed,0.400230504,0.797219834,0.008315325
image_007,U-Net,0.042858095,0.085631031,0.254031181
image_007,SegFormer,0.043840424,0.087298175,0.396544933
image_007,SAM,0.241908122,0.463939047,23.14701486
image_008,Watershed,0.310937378,0.586925942,0.011549473
image_008,U-Net,0.019346625,0.038681976,0.244416952
image_008,SegFormer,0.019269297,0.038538595,0.384427309
image_008,SAM,0.382137126,0.672253374,25.58108091
image_009,Watershed,0.097115506,0.193869828,0.010402679
image_009,U-Net,0.123249689,0.246481386,0.305147886
image_009,SegFormer,0.397034575,0.570585998,0.460393429
image_009,SAM,0.563550345,0.73381673,28.31684709
image_010,Watershed,0.327398165,0.65479633,0.008263826
image_010,U-Net,0.062372504,0.124743945,0.420099974
image_010,SegFormer,0.229861845,0.380890255,0.523179293
image_010,SAM,0.209065745,0.349821607,22.39724326
image_011,Watershed,0.255900968,0.428337793,0.014514685
image_011,U-Net,0.052544977,0.105078561,0.298541069
image_011,SegFormer,0.052513665,0.10502733,0.406402349
image_011,SAM,0.066968279,0.128609317,24.46717978
image_012,Watershed,0.621295364,0.767833421,0.014074564
image_012,U-Net,0.280499622,0.560999245,0.262352705
image_012,SegFormer,0.522846559,0.723754073,0.351273775
image_012,SAM,0.340811293,0.579221293,22.92847085
image_013,Watershed,0.22361943,0.400521238,0.013990879
image_013,U-Net,0.16659702,0.333184144,0.253859758
image_013,SegFormer,0.475630064,0.644683059,0.348586321
image_013,SAM,0.228279423,0.396718896,24.31176329
image_014,Watershed,0.377408293,0.57908612,0.01520896
image_014,U-Net,0.139159381,0.278301026,0.298485518
image_014,SegFormer,0.598922351,0.757457951,0.474129915
image_014,SAM,0.366441221,0.53666965,26.7668345
image_015,Watershed,0.050440518,0.099809277,0.012999296
image_015,U-Net,0.409016046,0.818032093,0.371116877
image_015,SegFormer,0.971888866,0.991322284,0.474189758
image_015,SAM,0.122602863,0.236256074,26.78603768
image_016,Watershed,0.020696027,0.040691781,0.017748594
image_016,U-Net,0.190375474,0.380742873,0.437957287
image_016,SegFormer,0.085746796,0.169725477,0.497351885
image_016,SAM,0.166969514,0.313722071,27.23895884
image_017,Watershed,0.631231325,0.868897078,0.008959532
image_017,U-Net,0.092340287,0.184680574,0.366669893
image_017,SegFormer,0.407451999,0.594120204,0.422538519
image_017,SAM,0.05636771,0.112571422,27.84783077
image_018,Watershed,0.323023876,0.646047752,0.016684055
image_018,U-Net,0.044063839,0.088109875,0.446329355
image_018,SegFormer,0.049285302,0.096920091,0.614315748
image_018,SAM,0.20455075,0.368740135,28.6878221
image_019,Watershed,0.348247156,0.696494311,0.010318756
image_019,U-Net,0.032691065,0.065381079,0.350836277
image_019,SegFormer,0.03268666,0.065373321,0.437052727
image_019,SAM,0.032543332,0.065066859,21.89884019
image_020,Watershed,0.328887783,0.657775566,0.010886192
image_020,U-Net,0.000669905,0.00133979,0.376751184
image_020,SegFormer,0.000666067,0.001332134,0.459134579
image_020,SAM,0.069667158,0.139334316,21.96123457
image_021,Watershed,0.142015395,0.283915029,0.018015385
image_021,U-Net,0.028141944,0.056272249,0.401563883
image_021,SegFormer,0.125887158,0.229658722,0.520368814
image_021,SAM,0.086402089,0.160114533,28.49624252
image_022,Watershed,0.240415279,0.470055324,0.010532618
image_022,U-Net,0.032827237,0.06565335,0.398801088
image_022,SegFormer,0.03282254,0.06564508,0.522354126
image_022,SAM,0.053513691,0.103801593,28.40643668
image_023,Watershed,0.616613731,0.794041107,0.013656139
image_023,U-Net,0.168313409,0.336597488,0.364827156
image_023,SegFormer,0.168285711,0.336571421,0.387469769
image_023,SAM,0.074521688,0.140335481,24.26030326
image_024,Watershed,0.00399337,0.007985875,0.016579866
image_024,U-Net,0.010193826,0.020387653,0.388841629
image_024,SegFormer,0.010193826,0.020387653,0.429858208
image_024,SAM,0.006561053,0.013115772,25.62284613
image_025,Watershed,0.223608315,0.38809517,0.01590538
image_025,U-Net,0.093712765,0.187410118,0.263590336
image_025,SegFormer,0.100599526,0.197112292,0.361989737
image_025,SAM,0.308647194,0.489455851,24.15773964
image_026,Watershed,0.411420099,0.638730521,0.013602257
image_026,U-Net,0.055175098,0.110339066,0.301166296
image_026,SegFormer,0.055145778,0.110291556,0.410228491
image_026,SAM,0.13933521,0.258595433,26.9416883
image_027,Watershed,0.232127334,0.400971366,0.014865637
image_027,U-Net,0.172792377,0.345498984,0.314101458
image_027,SegFormer,0.191630979,0.365503935,0.402491808
image_027,SAM,0.036380819,0.071453552,28.80185366
image_028,Watershed,0.366881925,0.733763851,0.012017012
image_028,U-Net,0.024689044,0.049374136,0.333943129
image_028,SegFormer,0.024667546,0.049335093,0.37880373
image_028,SAM,0.281651035,0.499547098,23.89282393
image_029,Watershed,0.400559397,0.575891474,0.012265682
image_029,U-Net,0.151084405,0.30189567,0.255579948
image_029,SegFormer,0.473799643,0.643410245,0.377994299
image_029,SAM,0.16128138,0.312665896,20.93579388
image_030,Watershed,0.379094928,0.736364826,0.011903048
image_030,U-Net,0.006482354,0.012963778,0.249175072
image_030,SegFormer,0.253265083,0.496971284,0.33996129
image_030,SAM,0.081024723,0.161452197,25.17905736
image_031,Watershed,0.566963112,0.804390729,0.018787384
image_031,U-Net,0.094962018,0.189893903,0.334233999
image_031,SegFormer,0.093745892,0.187490132,0.372303724
image_031,SAM,0.107333828,0.199402412,23.85339355
image_032,Watershed,0.402418562,0.750239231,0.009156227
image_032,U-Net,0.051799006,0.103566393,0.383373737
image_032,SegFormer,0.571044996,0.811189357,0.501243353
image_032,SAM,0.493285683,0.789176226,25.64428258
image_033,Watershed,0.392455742,0.718747067,0.015549898
image_033,U-Net,0.016166796,0.032328463,0.317400932
image_033,SegFormer,0.016125121,0.032250242,0.409930468
image_033,SAM,0.13999692,0.2789689,25.04043841
image_034,Watershed,0.415453499,0.589390372,0.009204626
image_034,U-Net,0.306692515,0.61337644,0.38557744
image_034,SegFormer,0.306838548,0.613677096,0.403172731
image_034,SAM,0.174787326,0.348971328,22.29867291
image_035,Watershed,0.594695824,0.82690857,0.011148691
image_035,U-Net,0.055002805,0.110005609,0.245827675
image_035,SegFormer,0.285300263,0.466590588,0.341930866
image_035,SAM,0.35516365,0.563269569,22.19650698
image_036,Watershed,0.504383231,0.682844643,0.010204315
image_036,U-Net,0.247825644,0.495627226,0.236567736
image_036,SegFormer,0.343921666,0.560785431,0.325636625
image_036,SAM,0.187340325,0.335399329,21.19035411
image_037,Watershed,0.007281982,0.014459831,0.01166749
image_037,U-Net,0.058832942,0.117665883,0.307936668
image_037,SegFormer,0.058832942,0.117665883,0.3618505
image_037,SAM,0.059504949,0.118689133,24.49386024
image_038,Watershed,0.528800798,0.895018629,0.010885954
image_038,U-Net,0.02464823,0.049269702,0.45398283
image_038,SegFormer,0.024512553,0.049023138,0.523142338
image_038,SAM,0.062366502,0.120460096,25.9363842
image_039,Watershed,0.435436526,0.7244641,0.010606289
image_039,U-Net,0.039638152,0.079260806,0.290675879
image_039,SegFormer,0.327087152,0.546004114,0.339054108
image_039,SAM,0.240520624,0.417239519,21.31735563
image_040,Watershed,0.133793104,0.23601032,0.014184237
image_040,U-Net,0.156745818,0.313482337,0.305812836
image_040,SegFormer,0.219727489,0.383584691,0.356250048
image_040,SAM,0.149827133,0.278147401,21.34263468
image_041,Watershed,0.704796945,0.865665848,0.010674477
image_041,U-Net,0.145106009,0.290128151,0.27983427
image_041,SegFormer,0.148359489,0.293966269,0.351348162
image_041,SAM,0.30299247,0.470695824,21.09781647
image_042,Watershed,0.134225199,0.240130713,0.011799812
image_042,U-Net,0.33163422,0.663163439,0.281827211
image_042,SegFormer,0.34430408,0.598988134,0.359782457
image_042,SAM,0.033609671,0.065591758,21.1692965
image_043,Watershed,0.937213305,0.972836464,0.009772301
image_043,U-Net,0.150222229,0.300444458,0.279292345
image_043,SegFormer,0.946404566,0.976269305,0.342286348
image_043,SAM,0.457477011,0.627965845,22.16420698
image_044,Watershed,0.328946385,0.63159978,0.014535666
image_044,U-Net,0.05042033,0.100784639,0.242478132
image_044,SegFormer,0.110270559,0.198868443,0.355061531
image_044,SAM,0.453209389,0.728810468,22.83170652
image_045,Watershed,0.166207728,0.330002917,0.013765812
image_045,U-Net,0.135422036,0.270753029,0.317257166
image_045,SegFormer,0.525804069,0.69485894,0.367112875
image_045,SAM,0.418743487,0.594493185,21.88217258
image_046,Watershed,0.608547957,0.844043416,0.007242441
image_046,U-Net,0.127638562,0.255225074,0.236606359
image_046,SegFormer,0.400038241,0.572759156,0.333679438
image_046,SAM,0.202734114,0.347419922,21.00634909
image_047,Watershed,0.42736005,0.791194978,0.013547182
image_047,U-Net,0.016588091,0.033173024,0.242673874
image_047,SegFormer,0.067373909,0.128023359,0.334527254
image_047,SAM,0.254979258,0.469821058,20.83306241
image_048,Watershed,0.097420971,0.181353027,0.012121201
image_048,U-Net,0.290465744,0.580665047,0.241005182
image_048,SegFormer,0.921350918,0.960636361,0.33871603
image_048,SAM,0.550678703,0.715803404,20.53636265
image_049,Watershed,0.614800171,0.944769816,0.007021666
image_049,U-Net,0.020521911,0.041035692,0.237726688
image_049,SegFormer,0.026753148,0.052531286,0.333185196
image_049,SAM,0.021254597,0.042381252,20.53423452
image_050,Watershed,0.28338317,0.464561507,0.014445305
image_050,U-Net,0.135981785,0.271955131,0.245293617
image_050,SegFormer,0.537983668,0.70889623,0.375308514
image_050,SAM,0.425925193,0.603753029,20.95845246
image_051,Watershed,0.255959753,0.496537754,0.011228085
image_051,U-Net,0.05455211,0.109093274,0.233392477
image_051,SegFormer,0.05452299,0.109045981,0.336581469
image_051,SAM,0.158083117,0.274351001,21.15977621
image_052,Watershed,0.270107027,0.460610866,0.015227795
image_052,U-Net,0.141881393,0.283706659,0.248509407
image_052,SegFormer,0.36359423,0.533417579,0.330688
image_052,SAM,0.288555508,0.449415234,22.836519
image_053,Watershed,0.369626538,0.539984804,0.01631856
image_053,U-Net,0.235575554,0.470963627,0.298975945
image_053,SegFormer,0.235416855,0.470833711,0.560736656
image_053,SAM,0.245079576,0.478735005,25.35565114
image_054,Watershed,0.161319014,0.30386911,0.013330698
image_054,U-Net,0.201173757,0.402121496,0.259871483
image_054,SegFormer,0.20098239,0.401964779,0.361860037
image_054,SAM,0.086313517,0.169983836,25.60336018
image_055,Watershed,0.003943263,0.007886162,0.01164794
image_055,U-Net,0.006560902,0.013121805,0.342483997
image_055,SegFormer,0.006560902,0.013121805,0.414178371
image_055,SAM,0.00658267,0.013164121,23.14567804
image_056,Watershed,0.272821928,0.545643856,0.009326935
