image_id,method,task,mIoU,pixel_accuracy,inference_time_sec
image_001,Watershed-Binary,binary,0.317270133,0.498940087,0.078766108
image_001,Watershed-Semantic-Oracle,semantic-oracle,0.177831201,0.541206388,0.050517082
image_001,U-Net-Semantic,semantic,0.321243001,0.863375038,0.877692938
image_001,SegFormer-Semantic,semantic,0.105973134,0.654110467,0.853470802
image_001,SAM-Class-Agnostic,class-agnostic-binary,0.607099331,0.797587224,36.47012615
image_002,Watershed-Binary,binary,0.225750064,0.376179688,0.014879465
image_002,Watershed-Semantic-Oracle,semantic-oracle,0.225750064,0.376179688,0.021565914
image_002,U-Net-Semantic,semantic,0.080591333,0.482124468,0.648617506
image_002,SegFormer-Semantic,semantic,0.067343399,0.403987417,0.640199423
image_002,SAM-Class-Agnostic,class-agnostic-binary,0.469316733,0.674060793,38.29991412
image_003,Watershed-Binary,binary,0.27521053,0.468312837,0.022208452
image_003,Watershed-Semantic-Oracle,semantic-oracle,0.355880507,0.78074287,0.028028727
image_003,U-Net-Semantic,semantic,0.231221306,0.916676734,0.927243948
image_003,SegFormer-Semantic,semantic,0.032178095,0.326519929,0.801516533
image_003,SAM-Class-Agnostic,class-agnostic-binary,0.183464789,0.330136026,39.33073187
image_004,Watershed-Binary,binary,0.366889136,0.657825313,0.02325058
image_004,Watershed-Semantic-Oracle,semantic-oracle,0.635262364,0.935463407,0.030690432
image_004,U-Net-Semantic,semantic,0.128568807,0.956939502,0.569470406
image_004,SegFormer-Semantic,semantic,0.001489707,0.007384342,0.697226524
image_004,SAM-Class-Agnostic,class-agnostic-binary,0.661706918,0.927173913,31.60881519
image_005,Watershed-Binary,binary,0.796306564,0.948586349,0.017929792
image_005,Watershed-Semantic-Oracle,semantic-oracle,0.848047752,0.965518988,0.026544571
image_005,U-Net-Semantic,semantic,0.170282063,0.873424134,0.730809212
image_005,SegFormer-Semantic,semantic,2.94E-05,0.000202646,0.781007051
image_005,SAM-Class-Agnostic,class-agnostic-binary,0.473063958,0.694226535,32.93864346
image_006,Watershed-Binary,binary,0.203207297,0.338708423,0.017722607
image_006,Watershed-Semantic-Oracle,semantic-oracle,0.283183153,0.354997441,0.016294479
image_006,U-Net-Semantic,semantic,0.227003059,0.548742196,0.563967228
image_006,SegFormer-Semantic,semantic,0.015959493,0.042452154,0.636821985
image_006,SAM-Class-Agnostic,class-agnostic-binary,0.514436668,0.797953127,34.13846564
image_007,Watershed-Binary,binary,0.400230504,0.797219834,0.03104353
image_007,Watershed-Semantic-Oracle,semantic-oracle,0.45742333,0.914846661,0.037837029
image_007,U-Net-Semantic,semantic,0.052664459,0.88713576,1.542314768
image_007,SegFormer-Semantic,semantic,0.013267123,0.078604185,1.162482262
image_007,SAM-Class-Agnostic,class-agnostic-binary,0.241908122,0.463939047,56.37767601
image_008,Watershed-Binary,binary,0.310937378,0.586925942,0.025743484
image_008,Watershed-Semantic-Oracle,semantic-oracle,0.574206441,0.933273397,0.025276899
image_008,U-Net-Semantic,semantic,0.142593864,0.961259896,0.840513468
image_008,SegFormer-Semantic,semantic,4.02E-05,0.000275137,0.750504732
image_008,SAM-Class-Agnostic,class-agnostic-binary,0.382137126,0.672253374,46.83496809
image_009,Watershed-Binary,binary,0.097115506,0.193869828,0.023454428
